custid,retained,created,firstorder,lastorder,esent,eopenrate,eclickrate,avgorder,ordfreq,paperless,refill,doorstep,favday,city
CMKDGM,1,1/10/2006,10/3/2006,1/14/2010,50,10,2,69.87,0.030025021,0,0,0,Tuesday,CHO
SVP6G6,1,1/1/2009,1/13/2009,1/13/2009,42,4.761904762,0,84.88,0,0,0,0,Tuesday,DCX
VG23GW,0,5/22/2009,5/22/2009,5/22/2009,43,2.325581395,0,51.06,0,1,0,0,Saturday,DCX
LTD4GA,1,6/2/2009,6/25/2009,12/4/2009,41,56.09756098,17.07317073,67.73,0.018518519,0,0,0,Thursday,BWI
P8UNWK,1,6/9/2009,6/14/2009,6/14/2009,45,17.77777778,2.222222222,101.98,0,1,0,0,Thursday,BWI
FHRPDK,1,9/5/2006,4/13/2009,11/19/2009,48,10.41666667,2.083333333,202.13,0.013636364,0,0,0,Monday,CHO
DWUWUA,1,12/5/2008,12/6/2008,10/22/2009,48,8.333333333,0,69.53,0.028125,1,0,0,Thursday,CHO
E5TQWH,1,8/4/2006,11/8/2007,11/8/2007,29,27.5862069,6.896551724,52.98,0,0,0,0,Thursday,RIC
CM5KWT,1,4/20/2009,4/20/2009,4/20/2009,46,13.04347826,4.347826087,78.81,0,0,0,0,Tuesday,DCX
MEYMWU,1,3/29/2009,3/30/2009,1/7/2010,50,18,8,73.05,0.03180212,0,0,0,Thursday,RIC
X5R6QJ,1,9/12/2008,9/12/2008,4/30/2009,43,34.88372093,0,76.33,0.126086957,1,0,0,Friday,RIC
3HM32X,1,6/21/2009,7/27/2009,7/27/2009,43,0,0,77.89,0,1,0,0,Monday,CHO
58PS2K,0,5/28/2007,5/28/2007,1/12/2010,4,0,0,161.43,0.078125,1,0,0,Tuesday,RIC
K29XDU,1,2/15/2009,2/15/2009,11/10/2009,44,38.63636364,15.90909091,67.35,0.029850746,1,0,0,Wednesday,RIC
S9PM9K,1,1/22/2008,1/22/2008,1/13/2009,45,6.666666667,2.222222222,35.75,0.016806723,1,0,0,Monday,RIC
R3QCUL,1,7/31/2008,9/15/2008,10/1/2009,48,14.58333333,0,53.62,0.01312336,0,0,0,Tuesday,RIC
2YWMMJ,0,9/29/2005,9/30/2006,3/13/2009,0,0,0,127.41,0.027932961,0,0,0,Friday,BWI
WYFZSC,1,8/27/2008,11/7/2008,4/22/2009,39,0,0,62.73,0.060240964,1,0,0,Sunday,DCX
ZUPEM6,1,4/10/2008,4/18/2008,1/15/2010,60,3.333333333,3.333333333,54.83,0.124018838,0,0,0,Friday,CHO
QFM8Z6,1,12/5/2005,12/16/2005,1/13/2010,62,20.96774194,3.225806452,79.85,0.069173942,0,1,0,Monday,CHO
BGK4QT,1,5/14/2007,5/14/2007,1/4/2010,54,5.555555556,1.851851852,90.23,0.020703934,0,0,0,Monday,CHO
Q4G3FL,1,5/19/2009,5/20/2009,12/8/2009,49,4.081632653,2.040816327,44.34,0.00990099,1,0,0,Wednesday,DCX
EA4GR7,1,2/3/2006,10/18/2006,1/15/2010,63,26.98412698,3.174603175,84.34,0.020253165,0,0,0,Monday,CHO
VB3ZTT,1,6/2/2009,6/22/2009,6/22/2009,38,57.89473684,0,89.95,0,1,0,0,Tuesday,DCX
GZVD9G,0,4/2/2009,4/2/2009,4/2/2009,1,0,0,122.63,0,0,0,0,Friday,CHO
PC5AXN,0,4/25/2009,5/3/2009,7/15/2009,0,0,0,54.47,0.04109589,0,0,0,Monday,RIC
WAQN2A,1,8/23/2007,9/3/2007,1/12/2010,54,24.07407407,5.555555556,77.18,0.010440835,0,1,0,Tuesday,RIC
S3Y49H,1,8/27/2008,8/8/2008,8/27/2009,39,66.66666667,7.692307692,83.47,0.0234375,1,0,0,Thursday,DCX
DTNK4W,1,3/15/2009,5/3/2009,11/9/2009,51,1.960784314,1.960784314,47.15,0.015789474,1,0,0,Tuesday,CHO
SEZ9JM,1,3/20/2006,8/4/2006,5/2/2008,47,0,0,84.35,0.028257457,1,0,0,Thursday,CHO
LR3XPG,1,6/3/2007,6/4/2007,8/13/2009,48,0,0,61.1,0.007490637,1,0,0,Thursday,CHO
92LA6J,1,3/24/2009,3/24/2009,4/7/2009,44,11.36363636,0,72.19,0.142857143,0,0,0,Wednesday,CHO
PT4VWL,1,2/24/2009,2/28/2009,1/4/2010,44,9.090909091,0,132.93,0.009677419,0,0,0,Sunday,RIC
UNE9Z9,1,6/18/2009,6/18/2009,6/18/2009,38,47.36842105,5.263157895,33.47,0,1,0,0,Thursday,RIC
YT6VMZ,1,12/25/2006,1/16/2007,2/22/2007,44,2.272727273,0,46.57,0.081081081,0,0,0,Tuesday,CHO
4EEB9X,1,8/27/2008,2/4/2009,5/2/2009,45,2.222222222,0,134.38,0.034482759,1,0,0,Saturday,DCX
W8MMSP,1,6/30/2009,6/30/2009,6/30/2009,40,30,0,16.64,0,1,0,0,Tuesday,CHO
J8YUD3,1,11/6/2008,11/6/2008,1/14/2010,42,100,2.380952381,63.66,0.105990783,0,0,1,Wednesday,DCX
RQRA33,0,12/15/2008,8/6/2009,8/23/2009,0,0,0,87.61,0.176470588,0,0,0,Monday,RIC
97FD8N,0,7/5/2009,7/31/2009,7/31/2009,7,28.57142857,14.28571429,69.08,0,1,0,0,Saturday,DCX
4V5US6,1,4/12/2009,4/13/2009,1/4/2010,41,19.51219512,2.43902439,92.69,0.090225564,0,0,0,Tuesday,RIC
84V5Y2,1,1/16/2009,1/27/2009,1/27/2009,45,4.444444444,2.222222222,51.91,0,0,0,0,Thursday,DCX
XGCFXQ,1,9/19/2006,9/20/2006,9/20/2006,44,2.272727273,2.272727273,20.15,0,0,0,0,Thursday,RIC
4NA9TG,1,3/4/2006,7/19/2006,3/12/2009,47,0,0,111.06,0.020682523,0,0,0,Thursday,CHO
FZ49HJ,1,1/9/2009,2/3/2009,5/19/2009,47,6.382978723,0,90.85,0.047619048,0,0,0,Monday,RIC
V63DMM,1,11/19/2008,12/10/2008,2/27/2009,45,0,0,71.35,0.025316456,0,0,0,Thursday,CHO
HMGPEZ,1,5/21/2009,6/5/2009,6/5/2009,41,17.07317073,4.87804878,38.28,0,0,0,0,Tuesday,DCX
PMCNKD,1,12/11/2007,12/11/2007,1/7/2010,55,14.54545455,10.90909091,80.79,0.114775726,1,0,0,Thursday,RIC
B2XCV,1,5/1/2007,5/2/2007,1/11/2010,56,23.21428571,5.357142857,186.57,0.047715736,0,0,0,Tuesday,CHO
RSZGYL,0,9/28/2008,1/6/2009,6/16/2009,0,0,0,320.93,0.01242236,1,0,0,Tuesday,DCX
RNVK8U,1,3/13/2009,3/21/2009,5/19/2009,40,35,10,61.22,0.13559322,1,1,0,Monday,CHO
Z83XF6,1,9/26/2008,9/26/2008,1/5/2010,56,57.14285714,8.928571429,119.22,0.096566524,0,1,0,Tuesday,RIC
SGTVS7,0,4/18/2009,4/18/2009,4/18/2009,0,0,0,57.76,0,1,0,0,Tuesday,CHO
VGYMTK,0,2/25/2009,2/25/2009,9/15/2009,0,0,0,41.63,0.084158416,1,0,0,Tuesday,DCX
T9TVNU,1,8/21/2006,9/3/2006,5/19/2009,37,56.75675676,16.21621622,85.1,0.012133468,0,0,0,Wednesday,CHO
7RAS5H,1,5/27/2009,5/27/2009,12/29/2009,47,25.53191489,10.63829787,83.37,0.009259259,1,0,0,Saturday,BWI
YJBR9E,1,3/13/2009,3/17/2009,3/17/2009,30,3.333333333,0,58.31,0,0,0,0,Tuesday,RIC
ZPENVC,1,3/24/2009,5/11/2009,5/11/2009,45,17.77777778,4.444444444,61.53,0,0,0,0,Saturday,DCX
BDHHLF,0,2/18/2006,4/2/2007,6/1/2009,0,0,0,127.24,0.07079646,0,0,0,Monday,CHO
AHJ7GJ,1,1/3/2006,3/7/2006,1/14/2010,65,20,7.692307692,97.12,0.11284599,1,1,0,Thursday,CHO
V6YCGE,1,5/10/2009,5/12/2009,9/7/2009,46,0,0,71.74,0.050847458,1,0,0,Monday,RIC
UZTKNX,1,8/31/2007,11/14/2007,1/1/2010,53,11.32075472,3.773584906,62.45,0.01283697,1,0,0,Tuesday,RIC
D3JJA6,1,7/4/2006,11/27/2006,3/4/2009,46,8.695652174,2.173913043,116.33,0.041062802,0,0,0,Monday,CHO
FKF5X6,0,4/27/2009,4/27/2009,4/27/2009,0,0,0,116.35,0,1,0,0,Monday,RIC
YK8R7Z,1,4/9/2009,11/18/2009,11/18/2009,48,2.083333333,2.083333333,51.95,0,0,1,1,Wednesday,DCX
VNXNUZ,1,10/2/2007,10/2/2007,11/14/2007,44,2.272727273,2.272727273,117.89,0.069767442,0,0,0,Tuesday,RIC
SU2XRL,1,6/21/2009,6/24/2009,6/24/2009,45,0,0,79.68,0,1,0,0,Thursday,CHO
NA5T5A,0,1/8/2009,1/9/2009,1/9/2009,0,0,0,72.31,0,0,0,0,Friday,CHO
YSG63R,1,1/25/2009,3/9/2009,3/24/2009,43,6.976744186,0,79.26,0.133333333,0,0,0,Monday,RIC
H5LX2J,1,2/4/2007,2/7/2007,11/4/2009,53,1.886792453,0,57.67,0.004995005,0,0,0,Thursday,CHO
7LTZ8J,1,8/27/2008,7/30/2008,4/13/2009,45,0,0,147.98,0.011673152,1,0,0,Thursday,DCX
Z4GSRZ,1,3/15/2009,11/19/2009,11/19/2009,46,8.695652174,6.52173913,88.76,0,0,0,0,Thursday,CHO
7AFTY6,0,4/12/2009,4/24/2009,4/24/2009,46,4.347826087,0,49.14,0,0,0,0,Monday,CHO
BWK8K5,1,9/4/2006,5/15/2007,1/5/2010,51,13.7254902,11.76470588,185.13,0.075569358,1,0,0,Monday,CHO
28C6F6,1,1/1/2007,4/24/2007,3/30/2009,43,20.93023256,9.302325581,71.16,0.033994334,0,0,0,Monday,CHO
P8SN99,1,8/27/2008,7/30/2008,4/10/2009,36,16.66666667,11.11111111,57.02,0.027559055,0,0,0,Sunday,DCX
3ZJVE8,1,12/22/2008,1/4/2009,1/18/2010,41,92.68292683,12.19512195,55.77,0.031662269,0,0,0,Monday,CHO
SP6MZ6,1,5/28/2009,5/28/2009,1/14/2010,40,90,12.5,43.98,0.043290043,1,0,0,Monday,CHO
9UUQFQ,1,3/17/2009,7/30/2009,7/30/2009,36,41.66666667,19.44444444,107.25,0,0,0,0,Tuesday,RIC
TB8E5G,1,3/28/2009,3/30/2009,4/7/2009,40,25,10,43.75,0.25,1,0,0,Friday,RIC
KQKM3E,1,1/22/2008,1/22/2008,1/19/2010,59,98.30508475,16.94915254,49.51,0.153846154,1,1,0,Tuesday,RIC
BUDVKA,0,6/8/2009,6/22/2009,7/13/2009,0,0,0,60.47,0.095238095,1,0,0,Wednesday,DCX
5NJ48X,1,6/22/2009,6/22/2009,6/22/2009,36,66.66666667,0,108.21,0,1,0,0,Monday,DCX
KPGEZR,1,5/12/2007,5/12/2007,1/6/2009,45,4.444444444,0,74.22,0.008264463,0,0,0,Thursday,RIC
VAMPYT,1,4/20/2009,4/27/2009,12/18/2009,56,28.57142857,14.28571429,95.13,0.029787234,0,0,0,Monday,DCX
WPS7LD,1,1/9/2007,7/25/2007,1/18/2010,57,71.92982456,0,72.47,0.056167401,1,0,0,Monday,CHO
LD8JWL,1,2/10/2009,2/10/2009,2/10/2009,45,0,0,88.14,0,0,0,0,Monday,RIC
G7KTG6,1,5/16/2007,6/26/2007,1/8/2010,48,14.58333333,2.083333333,81.37,0.003236246,1,0,0,Friday,RIC
CRNVNB,0,2/11/2009,2/21/2009,2/21/2009,0,0,0,64.52,0,0,0,0,Saturday,DCX
4XHL8V,1,8/27/2008,7/25/2008,12/12/2008,36,16.66666667,2.777777778,57.24,0.092857143,1,0,0,Sunday,DCX
BVQ7HU,1,6/13/2009,6/25/2009,6/25/2009,44,4.545454545,0,84.42,0,1,0,0,Thursday,BWI
S3E9AA,1,2/23/2009,3/3/2009,3/3/2009,45,0,0,30.86,0,0,0,0,Monday,RIC
ZPGS4M,1,12/13/2008,1/6/2009,6/27/2009,45,13.33333333,4.444444444,73.92,0.052325581,0,0,0,Monday,CHO
QXMSWL,1,8/17/2007,8/17/2007,7/14/2009,44,63.63636364,2.272727273,70.68,0.034433286,0,0,0,Thursday,CHO
TMT7FR,1,6/23/2009,6/24/2009,6/24/2009,45,13.33333333,2.222222222,106.53,0,1,0,0,Saturday,BWI
6TNAMF,1,2/13/2009,2/15/2009,6/30/2009,42,11.9047619,0,147.94,0.02962963,0,0,0,Monday,CHO
7PN46E,1,3/3/2009,3/3/2009,3/3/2009,32,21.875,0,124,0,1,0,0,Tuesday,RIC
TDXGXE,1,7/15/2008,1/18/2009,1/27/2009,33,78.78787879,9.090909091,37,0.222222222,0,0,0,Tuesday,RIC
GDP848,0,8/27/2008,9/24/2008,12/6/2008,0,0,0,93.44,0.04109589,1,0,0,Thursday,DCX
H87B97,1,1/5/2005,1/28/2006,4/21/2009,39,35.8974359,0,95.93,0.028837998,1,0,0,Tuesday,CHO
B4ZRM5,1,8/2/2006,5/6/2009,8/12/2009,45,17.77777778,0,59.22,0.030612245,0,0,0,Wednesday,CHO
HHMDFB,1,5/29/2009,6/12/2009,6/12/2009,45,0,0,53.26,0,1,0,0,Friday,RIC
8R4NTJ,1,1/29/2007,2/21/2009,1/17/2010,59,45.76271186,0,68.54,0.13030303,0,0,0,Monday,CHO
PTE8CW,1,6/9/2009,7/28/2009,1/5/2010,48,37.5,14.58333333,80.92,0.099378882,1,0,0,Tuesday,RIC
DCUV2C,1,5/9/2009,5/15/2009,8/13/2009,20,15,0,22.57,0.077777778,1,0,0,Friday,CHO
2K9H47,1,10/26/2006,1/18/2007,1/12/2010,50,62,2,122.13,0.117431193,1,0,0,Monday,CHO
RP2PNM,1,10/11/2008,10/24/2008,12/16/2009,43,67.44186047,9.302325581,36.57,0.009569378,0,0,0,Friday,RIC
KUCCAX,0,6/6/2009,6/15/2009,10/29/2009,0,0,0,36.13,0.022058824,1,0,0,Friday,CHO
XPKJBQ,1,8/27/2008,7/19/2008,1/16/2010,42,71.42857143,16.66666667,103,0.115384615,0,0,1,Sunday,DCX
5KY2LS,1,10/24/2008,10/24/2008,6/12/2009,37,8.108108108,2.702702703,60.36,0.017316017,0,0,0,Sunday,DCX
WWS57Y,1,4/26/2009,5/16/2009,5/16/2009,35,42.85714286,2.857142857,116.72,0,0,0,0,Saturday,BWI
CBYZW6,1,11/3/2008,12/1/2008,3/30/2009,45,0,0,87.39,0.016806723,0,0,0,Tuesday,DCX
W9GAS9,1,3/18/2009,4/28/2009,4/28/2009,45,0,0,89.89,0,0,0,0,Tuesday,CHO
8LAA22,0,1/30/2009,5/8/2009,7/10/2009,0,0,0,143.76,0.063492063,1,0,0,Saturday,BWI
L6A8MP,1,6/1/2009,7/20/2009,7/20/2009,44,40.90909091,0,54.06,0,1,0,0,Tuesday,BWI
UWTTJW,1,3/3/2009,3/4/2009,3/4/2009,41,46.34146341,2.43902439,28.93,0,0,0,0,Wednesday,RIC
N2QBQW,1,6/10/2009,6/16/2009,6/16/2009,30,13.33333333,3.333333333,67.69,0,1,0,0,Thursday,CHO
ANHJQC,1,5/5/2009,5/5/2009,5/5/2009,47,0,0,57.1,0,0,0,0,Thursday,DCX
6TSX87,1,6/24/2009,6/24/2009,6/24/2009,41,21.95121951,0,51.62,0,1,0,0,Thursday,DCX
39YJW3,0,3/30/2006,5/14/2007,11/24/2009,0,0,0,45.44,0.037837838,1,0,0,Monday,RIC
HGHMHG,1,7/10/2006,4/12/2007,5/14/2008,33,96.96969697,0,29.47,0.010050251,0,0,0,Wednesday,CHO
GEWPHT,1,3/5/2007,5/30/2007,1/1/2010,50,44,4,54.55,0.035902851,1,1,0,Friday,RIC
T7SCX2,0,6/16/2009,6/16/2009,6/16/2009,42,2.380952381,0,99.61,0,1,0,0,Tuesday,DCX
4FVB8Q,1,2/21/2007,3/15/2007,1/6/2010,50,60,32,40.35,0.072957198,1,1,0,Tuesday,CHO
TDKG8N,1,4/11/2009,4/11/2009,4/11/2009,43,11.62790698,4.651162791,34.56,0,0,0,0,Tuesday,DCX
8QGKWH,1,8/15/2007,8/15/2007,10/2/2009,47,6.382978723,2.127659574,111.72,0.019255456,1,0,0,Friday,CHO
YKEPZV,1,5/17/2007,6/27/2007,5/18/2009,39,53.84615385,10.25641026,51.51,0.02170767,0,0,0,Tuesday,CHO
B5B2JS,1,10/13/2006,11/25/2008,4/29/2009,45,0,0,162.27,0.012903226,0,0,0,Monday,RIC
XVZHAX,1,8/27/2008,7/25/2008,1/13/2010,51,54.90196078,1.960784314,63.45,0.115456238,0,1,1,Wednesday,DCX
25J9GP,0,12/14/2008,12/18/2008,3/13/2009,8,25,0,128.84,0.176470588,0,0,0,Thursday,RIC
MVQXFM,1,5/31/2009,6/5/2009,11/16/2009,52,5.769230769,3.846153846,98.09,0.012195122,1,0,0,Friday,BWI
4UVGRH,1,9/25/2006,10/25/2006,12/28/2009,41,92.68292683,4.87804878,105.53,0.019827586,0,0,0,Monday,CHO
VKN6AE,1,8/7/2008,8/15/2008,8/15/2008,43,6.976744186,0,28.27,0,1,0,0,Friday,CHO
PVLM2Z,1,6/28/2009,6/30/2009,1/12/2010,55,49.09090909,21.81818182,60.72,0.137755102,0,1,0,Tuesday,RIC
3T77RJ,1,3/31/2005,3/31/2005,3/31/2005,43,4.651162791,2.325581395,86.78,0,0,0,0,Thursday,CHO
FEJQ8M,0,6/16/2009,6/16/2009,6/16/2009,11,45.45454545,0,58.09,0,1,0,0,Tuesday,RIC
P3SEU8,1,1/25/2009,1/30/2009,7/17/2009,35,68.57142857,0,134.76,0.041666667,0,1,0,Friday,RIC
NTDPPD,1,9/29/2006,10/16/2007,1/1/2010,52,28.84615385,21.15384615,67.41,0.011138614,1,0,0,Tuesday,RIC
C4Q57G,1,1/3/2009,1/5/2009,1/5/2009,21,23.80952381,0,40,0,0,0,0,Tuesday,DCX
RHUABS,1,4/20/2006,11/7/2006,1/6/2009,38,78.94736842,0,148.06,0.120101138,0,0,0,Tuesday,CHO
RQUG4S,1,5/24/2009,5/27/2009,5/27/2009,48,2.083333333,0,46.75,0,1,0,0,Thursday,BWI
BSZDYM,0,4/26/2009,8/31/2009,8/31/2009,1,100,0,90.01,0,0,0,0,Thursday,BWI
W47K5S,1,11/7/2007,6/18/2009,1/12/2010,64,12.5,1.5625,151.29,0.158653846,0,0,0,Thursday,RIC
G35QPM,0,10/19/2006,10/19/2006,4/30/2009,0,0,0,53.4,0.016233766,1,0,0,Monday,CHO
45NSEQ,1,6/4/2009,6/24/2009,7/22/2009,46,2.173913043,0,52.54,0.071428571,1,0,0,Wednesday,DCX
59HAEA,0,12/12/2006,1/3/2007,2/16/2008,0,0,0,125.9,0.053789731,0,0,0,Monday,CHO
8E8G8J,0,3/18/2007,10/27/2007,10/27/2007,0,0,0,51.66,0,0,0,0,Friday,RIC
NK2HR9,1,2/15/2009,2/16/2009,3/5/2009,37,59.45945946,2.702702703,48.8,0.117647059,1,0,0,Monday,RIC
EUVFG2,1,3/6/2009,10/29/2009,12/2/2009,42,2.380952381,0,46.5,0.058823529,0,0,0,Friday,RIC
LSFPUQ,1,8/27/2008,7/19/2008,1/18/2010,49,46.93877551,12.24489796,88.92,0.114963504,1,0,1,Monday,DCX
6WGHAP,1,9/16/2005,10/13/2006,1/12/2010,63,28.57142857,3.174603175,71.47,0.048020219,0,1,0,Tuesday,CHO
6P9X9N,1,4/28/2009,4/28/2009,4/28/2009,43,34.88372093,6.976744186,50.98,0,0,0,0,Wednesday,RIC
9PKKUQ,1,5/23/2009,6/20/2009,6/20/2009,45,0,0,116.55,0,1,0,0,Wednesday,DCX
TRALKX,1,8/27/2008,10/31/2008,6/6/2009,48,2.083333333,0,111.71,0.036697248,0,0,0,Saturday,DCX
XXDN9K,0,3/26/2009,4/15/2009,5/5/2009,16,6.25,6.25,49.39,0.1,0,0,0,Wednesday,RIC
3YAZWF,1,6/1/2009,7/6/2009,7/6/2009,33,90.90909091,9.090909091,106.12,0,1,0,0,Saturday,DCX
TT6B7E,0,8/27/2008,10/21/2008,8/28/2009,8,75,12.5,82.56,0.122186495,1,0,0,Saturday,DCX
YQ8X6D,1,6/22/2009,6/22/2009,6/22/2009,46,6.52173913,2.173913043,108.44,0,1,0,0,Thursday,DCX
B8ASHY,0,1/18/2009,2/11/2009,3/5/2009,0,0,0,39.34,0.090909091,0,0,0,Wednesday,RIC
43EZBC,1,10/6/2008,10/7/2008,1/7/2009,43,23.25581395,0,139.76,0.108695652,1,0,0,Saturday,DCX
BXJ8D8,1,10/20/2007,10/24/2007,4/15/2009,48,8.333333333,0,86.49,0.016697588,0,0,0,Tuesday,CHO
NJVWUK,1,4/25/2006,11/17/2006,11/15/2009,48,12.5,4.166666667,44.01,0.033820841,0,0,0,Friday,CHO
FDWP8R,0,5/19/2009,5/19/2009,5/19/2009,40,2.5,0,60.23,0,0,0,0,Tuesday,CHO
A9A8QD,0,3/26/2009,3/26/2009,3/26/2009,27,33.33333333,0,18.26,0,0,0,0,Thursday,CHO
KJANKN,1,8/27/2006,3/13/2007,1/18/2010,62,24.19354839,9.677419355,141.84,0.144913628,1,0,0,Monday,CHO
7Q8UAQ,1,7/16/2007,7/16/2007,12/3/2009,52,13.46153846,7.692307692,53.79,0.020665901,0,0,0,Wednesday,CHO
Y3BENA,1,5/31/2009,7/6/2009,7/6/2009,40,32.5,5,91.44,0,1,0,0,Saturday,DCX
CFWHSY,1,6/13/2009,6/13/2009,6/13/2009,45,6.666666667,0,46.04,0,1,0,0,Monday,RIC
8DX5DX,0,12/31/2007,1/4/2008,1/15/2010,7,0,0,58.16,0.056603774,0,0,0,Friday,RIC
8SWBLB,1,10/31/2008,1/20/2009,1/18/2010,46,60.86956522,10.86956522,91.4,0.022038567,0,0,0,Monday,RIC
GRHJQS,1,1/8/2008,7/13/2009,10/12/2009,43,20.93023256,13.95348837,96.41,0.032967033,0,0,0,Monday,CHO
KJZVBZ,1,5/26/2009,5/26/2009,5/26/2009,30,93.33333333,0,52.06,0,1,0,0,Monday,CHO
5LXYES,0,2/20/2009,3/13/2009,5/7/2009,0,0,0,61.72,0.072727273,0,0,0,Sunday,DCX
BSQYPM,1,5/12/2007,5/29/2007,3/2/2009,48,4.166666667,0,50.73,0.01088647,0,0,0,Tuesday,RIC
L4FKP9,1,4/12/2009,6/19/2009,6/19/2009,42,11.9047619,0,50.83,0,1,0,0,Friday,CHO
R7VWKK,0,5/28/2009,5/29/2009,5/29/2009,0,0,0,51.01,0,1,0,0,Friday,RIC
HX2SP6,1,3/25/2009,1/6/2010,1/6/2010,40,17.5,2.5,68.36,0,0,0,0,Friday,RIC
5JBPJZ,1,8/27/2008,7/25/2008,4/17/2009,39,0,0,57.26,0.067669173,1,0,0,Sunday,DCX
2NZE7C,1,12/16/2008,2/27/2009,4/30/2009,32,78.125,21.875,53.23,0.048387097,1,0,0,Thursday,CHO
JGV36N,0,7/1/2009,7/1/2009,7/1/2009,21,0,0,53.36,0,1,0,0,Monday,CHO
P8EHTE,1,8/26/2008,8/26/2008,2/24/2009,47,0,0,37.38,0.065934066,0,0,0,Tuesday,RIC
ASA3EY,1,6/2/2009,6/22/2009,6/22/2009,46,17.39130435,0,99.43,0,1,0,0,Saturday,BWI
FSMS9A,1,4/18/2009,4/25/2009,4/25/2009,44,2.272727273,0,86.18,0,0,0,0,Monday,CHO
66F726,0,8/27/2008,11/13/2008,11/13/2008,0,0,0,45.08,0,0,0,0,Tuesday,BWI
E98789,1,4/24/2009,4/24/2009,1/18/2010,57,0,0,76.32,0.063197026,1,0,0,Monday,RIC
ESA32P,1,8/10/2007,10/2/2007,4/27/2009,48,0,0,65.77,0.017452007,0,0,0,Monday,RIC
HFHH33,1,5/1/2009,5/12/2009,1/2/2010,54,27.77777778,14.81481481,55.75,0.038297872,1,0,0,Tuesday,DCX
KYRRMF,0,6/10/2009,6/11/2009,10/3/2009,0,0,0,98.85,0.061403509,1,0,0,Monday,DCX
ZZMV9N,1,9/1/2007,9/1/2007,4/24/2009,49,12.24489796,4.081632653,26.14,0.011647255,0,0,0,Friday,RIC
JGG4QF,1,5/25/2009,6/15/2009,6/15/2009,44,4.545454545,0,90.66,0,1,0,0,Thursday,BWI
43HS7N,1,5/12/2007,5/18/2007,1/15/2010,51,62.74509804,33.33333333,55.59,0.046248715,1,0,0,Friday,RIC
ZLM32K,1,11/1/2006,1/30/2009,9/12/2009,47,2.127659574,0,212.75,0.12,0,0,0,Monday,RIC
ZRVWKV,1,3/1/2009,7/6/2009,7/6/2009,38,65.78947368,13.15789474,51.63,0,0,0,0,Thursday,DCX
5JAL7U,1,9/24/2008,10/14/2008,9/9/2009,45,4.444444444,2.222222222,76.67,0.009090909,0,0,0,Wednesday,CHO
224L8Q,1,4/12/2009,10/21/2009,10/21/2009,41,31.70731707,9.756097561,51.72,0,0,0,0,Monday,CHO
XEPRWB,1,3/3/2009,3/9/2009,3/9/2009,45,0,0,52.12,0,0,0,0,Monday,CHO
SYQ866,1,10/8/2008,10/8/2008,1/6/2009,38,23.68421053,0,75.87,0.022222222,0,0,0,Tuesday,RIC
SX6Y2W,0,2/8/2009,2/10/2009,3/16/2009,0,0,0,146.78,0.117647059,0,0,0,Wednesday,RIC
FSVTYB,1,8/26/2008,8/26/2008,7/17/2009,40,42.5,5,118.75,0.015384615,0,0,0,Tuesday,RIC
NZUMZJ,1,5/8/2009,5/8/2009,5/8/2009,45,0,0,60.08,0,0,0,0,Friday,CHO
4DBMT7,1,3/22/2008,3/23/2008,4/29/2009,48,2.083333333,0,214.41,0.034825871,1,0,0,Wednesday,RIC
RYFRU9,1,5/27/2009,6/18/2009,6/18/2009,45,0,0,90,0,1,0,0,Saturday,DCX
AFUG5Q,1,6/6/2009,6/20/2009,9/14/2009,45,11.11111111,2.222222222,59.66,0.034883721,1,0,0,Tuesday,CHO
CXV94H,1,6/2/2009,6/18/2009,6/18/2009,29,100,17.24137931,128.26,0,1,1,0,Wednesday,DCX
DF2SZE,1,3/15/2009,5/19/2009,5/19/2009,45,2.222222222,2.222222222,56.07,0,0,0,0,Friday,RIC
697C9Q,0,1/19/2008,5/31/2008,1/21/2009,0,0,0,122.04,0.029787234,0,0,0,Wednesday,RIC
3EYHPL,1,8/11/2006,9/3/2008,7/16/2009,45,0,0,59.7,0.006329114,0,0,0,Thursday,DCX
GDPSRQ,1,6/2/2009,6/22/2009,6/22/2009,43,13.95348837,0,159.91,0,1,0,0,Thursday,DCX
ESHV86,0,9/11/2008,9/12/2008,9/12/2008,0,0,0,90.96,0,0,0,0,Sunday,DCX
WRN8Y5,0,2/2/2007,4/25/2007,5/29/2009,0,0,0,63.74,0.050980392,0,0,0,Tuesday,RIC
FMUZW7,1,1/22/2008,2/10/2008,1/14/2009,40,40,5,45.69,0.085545723,1,0,0,Tuesday,RIC
F6M9NM,1,1/2/2009,8/21/2009,8/21/2009,41,24.3902439,2.43902439,41.12,0,0,0,0,Friday,RIC
NTVB8R,1,3/30/2009,3/30/2009,3/30/2009,45,0,0,53.31,0,0,0,0,Friday,RIC
JM28LZ,1,12/14/2006,12/14/2006,1/26/2007,41,17.07317073,0,48.21,0.046511628,0,0,0,Monday,CHO
8W76G2,1,10/25/2007,10/7/2008,1/18/2010,51,21.56862745,11.76470588,37.3,0.108974359,1,1,0,Thursday,CHO
HMMMX8,0,8/27/2008,7/25/2008,10/31/2008,0,0,0,60.98,0.06122449,1,0,0,Sunday,DCX
ABJZQM,1,1/17/2009,7/16/2009,7/16/2009,44,0,0,260.94,0,0,0,0,Friday,CHO
AEK9GT,0,10/28/2008,10/28/2008,3/24/2009,17,29.41176471,0,82.4,0.047619048,0,0,0,Tuesday,CHO
XBCBSQ,1,1/3/2009,2/11/2009,7/15/2009,41,63.41463415,7.317073171,71.01,0.025974026,0,0,0,Tuesday,BWI
